Gasday,Gasprice
01.08.21,137.6
02.08.21,137.6
03.08.21,137.6
04.08.21,137.6
05.08.21,137.6
06.08.21,137.6
07.08.21,137.6
08.08.21,137.6
09.08.21,137.6
10.08.21,137.6
11.08.21,137.6
12.08.21,137.6
13.08.21,137.6
14.08.21,137.6
15.08.21,137.6
16.08.21,137.6
17.08.21,137.6
18.08.21,137.6
19.08.21,137.6
20.08.21,137.6
21.08.21,137.6
22.08.21,137.6
23.08.21,137.6
24.08.21,137.6
25.08.21,137.6
26.08.21,137.6
27.08.21,137.6
28.08.21,137.6
29.08.21,137.6
30.08.21,137.6
31.08.21,137.6
01.09.21,167.5
02.09.21,167.5
03.09.21,167.5
04.09.21,167.5
05.09.21,167.5
06.09.21,167.5
07.09.21,167.5
08.09.21,167.5
09.09.21,167.5
10.09.21,167.5
11.09.21,167.5
12.09.21,167.5
13.09.21,167.5
14.09.21,167.5
15.09.21,167.5
16.09.21,167.5
17.09.21,167.5
18.09.21,167.5
19.09.21,167.5
20.09.21,167.5
21.09.21,167.5
22.09.21,167.5
23.09.21,167.5
24.09.21,167.5
25.09.21,167.5
26.09.21,167.5
27.09.21,167.5
28.09.21,167.5
29.09.21,167.5
30.09.21,167.5
01.10.21,227.6
02.10.21,227.6
03.10.21,227.6
04.10.21,227.6
05.10.21,227.6
06.10.21,227.6
07.10.21,227.6
08.10.21,227.6
09.10.21,227.6
10.10.21,227.6
11.10.21,227.6
12.10.21,227.6
13.10.21,227.6
14.10.21,227.6
15.10.21,227.6
16.10.21,227.6
17.10.21,227.6
18.10.21,227.6
19.10.21,227.6
20.10.21,227.6
21.10.21,227.6
22.10.21,227.6
23.10.21,227.6
24.10.21,227.6
25.10.21,227.6
26.10.21,227.6
27.10.21,227.6
28.10.21,227.6
29.10.21,227.6
30.10.21,227.6
31.10.21,227.6
01.11.21,95.4
02.11.21,95.4
03.11.21,95.4
04.11.21,95.4
05.11.21,95.4
06.11.21,95.4
07.11.21,95.4
08.11.21,95.4
09.11.21,95.4
10.11.21,95.4
11.11.21,95.4
12.11.21,95.4
13.11.21,95.4
14.11.21,95.4
15.11.21,95.4
16.11.21,95.4
17.11.21,95.4
18.11.21,95.4
19.11.21,95.4
20.11.21,95.4
21.11.21,95.4
22.11.21,95.4
23.11.21,95.4
24.11.21,95.4
25.11.21,95.4
26.11.21,95.4
27.11.21,95.4
28.11.21,95.4
29.11.21,95.4
30.11.21,95.4
01.12.21,88.4
02.12.21,88.4
03.12.21,88.4
04.12.21,88.4
05.12.21,88.4
06.12.21,88.4
07.12.21,88.4
08.12.21,88.4
09.12.21,88.4
10.12.21,88.4
11.12.21,88.4
12.12.21,88.4
13.12.21,88.4
14.12.21,88.4
15.12.21,88.4
16.12.21,88.4
17.12.21,88.4
18.12.21,88.4
19.12.21,88.4
20.12.21,88.4
21.12.21,88.4
22.12.21,88.4
23.12.21,88.4
24.12.21,88.4
25.12.21,88.4
26.12.21,88.4
27.12.21,88.4
28.12.21,88.4
29.12.21,88.4
30.12.21,88.4
31.12.21,88.4
01.01.22,228
02.01.22,228
03.01.22,228
04.01.22,228
05.01.22,228
06.01.22,228
07.01.22,228
08.01.22,228
09.01.22,228
10.01.22,228
11.01.22,228
12.01.22,228
13.01.22,228
14.01.22,228
15.01.22,228
16.01.22,228
17.01.22,228
18.01.22,228
19.01.22,228
20.01.22,228
21.01.22,228
22.01.22,228
23.01.22,228
24.01.22,228
25.01.22,228
26.01.22,228
27.01.22,228
28.01.22,228
29.01.22,228
30.01.22,228
31.01.22,228
01.02.22,259.8
02.02.22,259.8
03.02.22,259.8
04.02.22,259.8
05.02.22,259.8
06.02.22,259.8
07.02.22,259.8
08.02.22,259.8
09.02.22,259.8
10.02.22,259.8
11.02.22,259.8
12.02.22,259.8
13.02.22,259.8
14.02.22,259.8
15.02.22,259.8
16.02.22,259.8
17.02.22,259.8
18.02.22,259.8
19.02.22,259.8
20.02.22,259.8
21.02.22,259.8
22.02.22,259.8
23.02.22,259.8
24.02.22,259.8
25.02.22,259.8
26.02.22,259.8
27.02.22,259.8
28.02.22,259.8
01.03.22,122.6
02.03.22,122.6
03.03.22,122.6
04.03.22,122.6
05.03.22,122.6
06.03.22,122.6
07.03.22,122.6
08.03.22,122.6
09.03.22,122.6
10.03.22,122.6
11.03.22,122.6
12.03.22,122.6
13.03.22,122.6
14.03.22,122.6
15.03.22,122.6
16.03.22,122.6
17.03.22,122.6
18.03.22,122.6
19.03.22,122.6
20.03.22,122.6
21.03.22,122.6
22.03.22,122.6
23.03.22,122.6
24.03.22,122.6
25.03.22,122.6
26.03.22,122.6
27.03.22,122.6
28.03.22,122.6
29.03.22,122.6
30.03.22,122.6
31.03.22,122.6
01.04.22,315.5
02.04.22,315.5
03.04.22,315.5
04.04.22,315.5
05.04.22,315.5
06.04.22,315.5
07.04.22,315.5
08.04.22,315.5
09.04.22,315.5
10.04.22,315.5
11.04.22,315.5
12.04.22,315.5
13.04.22,315.5
14.04.22,315.5
15.04.22,315.5
16.04.22,315.5
17.04.22,315.5
18.04.22,315.5
19.04.22,315.5
20.04.22,315.5
21.04.22,315.5
22.04.22,315.5
23.04.22,315.5
24.04.22,315.5
25.04.22,315.5
26.04.22,315.5
27.04.22,315.5
28.04.22,315.5
29.04.22,315.5
30.04.22,315.5
01.05.22,291.5
02.05.22,291.5
03.05.22,291.5
04.05.22,291.5
05.05.22,291.5
06.05.22,291.5
07.05.22,291.5
08.05.22,291.5
09.05.22,291.5
10.05.22,291.5
11.05.22,291.5
12.05.22,291.5
13.05.22,291.5
14.05.22,291.5
15.05.22,291.5
16.05.22,291.5
17.05.22,291.5
18.05.22,291.5
19.05.22,291.5
20.05.22,291.5
21.05.22,291.5
22.05.22,291.5
23.05.22,291.5
24.05.22,291.5
25.05.22,291.5
26.05.22,291.5
27.05.22,291.5
28.05.22,291.5
29.05.22,291.5
30.05.22,291.5
31.05.22,291.5
01.06.22,321.7
02.06.22,321.7
03.06.22,321.7
04.06.22,321.7
05.06.22,321.7
06.06.22,321.7
07.06.22,321.7
08.06.22,321.7
09.06.22,321.7
10.06.22,321.7
11.06.22,321.7
12.06.22,321.7
13.06.22,321.7
14.06.22,321.7
15.06.22,321.7
16.06.22,321.7
17.06.22,321.7
18.06.22,321.7
19.06.22,321.7
20.06.22,321.7
21.06.22,321.7
22.06.22,321.7
23.06.22,321.7
24.06.22,321.7
25.06.22,321.7
26.06.22,321.7
27.06.22,321.7
28.06.22,321.7
29.06.22,321.7
30.06.22,321.7
01.07.22,455.9
02.07.22,455.9
03.07.22,455.9
04.07.22,455.9
05.07.22,455.9
06.07.22,455.9
07.07.22,455.9
08.07.22,455.9
09.07.22,455.9
10.07.22,455.9
11.07.22,455.9
12.07.22,455.9
13.07.22,455.9
14.07.22,455.9
15.07.22,455.9
16.07.22,455.9
17.07.22,455.9
18.07.22,455.9
19.07.22,455.9
20.07.22,455.9
21.07.22,455.9
22.07.22,455.9
23.07.22,455.9
24.07.22,455.9
25.07.22,455.9
26.07.22,455.9
27.07.22,455.9
28.07.22,455.9
29.07.22,455.9
30.07.22,455.9
31.07.22,455.9
01.08.22,234.5
02.08.22,234.5
03.08.22,234.5
04.08.22,234.5
05.08.22,234.5
06.08.22,234.5
07.08.22,234.5
08.08.22,234.5
09.08.22,234.5
10.08.22,234.5
11.08.22,234.5
12.08.22,234.5
13.08.22,234.5
14.08.22,234.5
15.08.22,234.5
16.08.22,234.5
17.08.22,234.5
18.08.22,234.5