Gasday,Gasprice
2021-08-01,137.6
2021-08-02,137.6
2021-08-03,137.6
2021-08-04,137.6
2021-08-05,137.6
2021-08-06,137.6
2021-08-07,137.6
2021-08-08,137.6
2021-08-09,137.6
2021-08-10,137.6
2021-08-11,137.6
2021-08-12,137.6
2021-08-13,137.6
2021-08-14,137.6
2021-08-15,137.6
2021-08-16,137.6
2021-08-17,137.6
2021-08-18,137.6
2021-08-19,137.6
2021-08-20,137.6
2021-08-21,137.6
2021-08-22,137.6
2021-08-23,137.6
2021-08-24,137.6
2021-08-25,137.6
2021-08-26,137.6
2021-08-27,137.6
2021-08-28,137.6
2021-08-29,137.6
2021-08-30,137.6
2021-08-31,137.6
2021-09-01,167.5
2021-09-02,167.5
2021-09-03,167.5
2021-09-04,167.5
2021-09-05,167.5
2021-09-06,167.5
2021-09-07,167.5
2021-09-08,167.5
2021-09-09,167.5
2021-09-10,167.5
2021-09-11,167.5
2021-09-12,167.5
2021-09-13,167.5
2021-09-14,167.5
2021-09-15,167.5
2021-09-16,167.5
2021-09-17,167.5
2021-09-18,167.5
2021-09-19,167.5
2021-09-20,167.5
2021-09-21,167.5
2021-09-22,167.5
2021-09-23,167.5
2021-09-24,167.5
2021-09-25,167.5
2021-09-26,167.5
2021-09-27,167.5
2021-09-28,167.5
2021-09-29,167.5
2021-09-30,167.5
2021-10-01,227.6
2021-10-02,227.6
2021-10-03,227.6
2021-10-04,227.6
2021-10-05,227.6
2021-10-06,227.6
2021-10-07,227.6
2021-10-08,227.6
2021-10-09,227.6
2021-10-10,227.6
2021-10-11,227.6
2021-10-12,227.6
2021-10-13,227.6
2021-10-14,227.6
2021-10-15,227.6
2021-10-16,227.6
2021-10-17,227.6
2021-10-18,227.6
2021-10-19,227.6
2021-10-20,227.6
2021-10-21,227.6
2021-10-22,227.6
2021-10-23,227.6
2021-10-24,227.6
2021-10-25,227.6
2021-10-26,227.6
2021-10-27,227.6
2021-10-28,227.6
2021-10-29,227.6
2021-10-30,227.6
2021-10-31,227.6
2021-11-01,95.4
2021-11-02,95.4
2021-11-03,95.4
2021-11-04,95.4
2021-11-05,95.4
2021-11-06,95.4
2021-11-07,95.4
2021-11-08,95.4
2021-11-09,95.4
2021-11-10,95.4
2021-11-11,95.4
2021-11-12,95.4
2021-11-13,95.4
2021-11-14,95.4
2021-11-15,95.4
2021-11-16,95.4
2021-11-17,95.4
2021-11-18,95.4
2021-11-19,95.4
2021-11-20,95.4
2021-11-21,95.4
2021-11-22,95.4
2021-11-23,95.4
2021-11-24,95.4
2021-11-25,95.4
2021-11-26,95.4
2021-11-27,95.4
2021-11-28,95.4
2021-11-29,95.4
2021-11-30,95.4
2021-12-01,88.4
2021-12-02,88.4
2021-12-03,88.4
2021-12-04,88.4
2021-12-05,88.4
2021-12-06,88.4
2021-12-07,88.4
2021-12-08,88.4
2021-12-09,88.4
2021-12-10,88.4
2021-12-11,88.4
2021-12-12,88.4
2021-12-13,88.4
2021-12-14,88.4
2021-12-15,88.4
2021-12-16,88.4
2021-12-17,88.4
2021-12-18,88.4
2021-12-19,88.4
2021-12-20,88.4
2021-12-21,88.4
2021-12-22,88.4
2021-12-23,88.4
2021-12-24,88.4
2021-12-25,88.4
2021-12-26,88.4
2021-12-27,88.4
2021-12-28,88.4
2021-12-29,88.4
2021-12-30,88.4
2021-12-31,88.4
2022-01-01,228
2022-01-02,228
2022-01-03,228
2022-01-04,228
2022-01-05,228
2022-01-06,228
2022-01-07,228
2022-01-08,228
2022-01-09,228
2022-01-10,228
2022-01-11,228
2022-01-12,228
2022-01-13,228
2022-01-14,228
2022-01-15,228
2022-01-16,228
2022-01-17,228
2022-01-18,228
2022-01-19,228
2022-01-20,228
2022-01-21,228
2022-01-22,228
2022-01-23,228
2022-01-24,228
2022-01-25,228
2022-01-26,228
2022-01-27,228
2022-01-28,228
2022-01-29,228
2022-01-30,228
2022-01-31,228
2022-02-01,259.8
2022-02-02,259.8
2022-02-03,259.8
2022-02-04,259.8
2022-02-05,259.8
2022-02-06,259.8
2022-02-07,259.8
2022-02-08,259.8
2022-02-09,259.8
2022-02-10,259.8
2022-02-11,259.8
2022-02-12,259.8
2022-02-13,259.8
2022-02-14,259.8
2022-02-15,259.8
2022-02-16,259.8
2022-02-17,259.8
2022-02-18,259.8
2022-02-19,259.8
2022-02-20,259.8
2022-02-21,259.8
2022-02-22,259.8
2022-02-23,259.8
2022-02-24,259.8
2022-02-25,259.8
2022-02-26,259.8
2022-02-27,259.8
2022-02-28,259.8
2022-03-01,122.6
2022-03-02,122.6
2022-03-03,122.6
2022-03-04,122.6
2022-03-05,122.6
2022-03-06,122.6
2022-03-07,122.6
2022-03-08,122.6
2022-03-09,122.6
2022-03-10,122.6
2022-03-11,122.6
2022-03-12,122.6
2022-03-13,122.6
2022-03-14,122.6
2022-03-15,122.6
2022-03-16,122.6
2022-03-17,122.6
2022-03-18,122.6
2022-03-19,122.6
2022-03-20,122.6
2022-03-21,122.6
2022-03-22,122.6
2022-03-23,122.6
2022-03-24,122.6
2022-03-25,122.6
2022-03-26,122.6
2022-03-27,122.6
2022-03-28,122.6
2022-03-29,122.6
2022-03-30,122.6
2022-03-31,122.6
2022-04-01,315.5
2022-04-02,315.5
2022-04-03,315.5
2022-04-04,315.5
2022-04-05,315.5
2022-04-06,315.5
2022-04-07,315.5
2022-04-08,315.5
2022-04-09,315.5
2022-04-10,315.5
2022-04-11,315.5
2022-04-12,315.5
2022-04-13,315.5
2022-04-14,315.5
2022-04-15,315.5
2022-04-16,315.5
2022-04-17,315.5
2022-04-18,315.5
2022-04-19,315.5
2022-04-20,315.5
2022-04-21,315.5
2022-04-22,315.5
2022-04-23,315.5
2022-04-24,315.5
2022-04-25,315.5
2022-04-26,315.5
2022-04-27,315.5
2022-04-28,315.5
2022-04-29,315.5
2022-04-30,315.5
2022-05-01,291.5
2022-05-02,291.5
2022-05-03,291.5
2022-05-04,291.5
2022-05-05,291.5
2022-05-06,291.5
2022-05-07,291.5
2022-05-08,291.5
2022-05-09,291.5
2022-05-10,291.5
2022-05-11,291.5
2022-05-12,291.5
2022-05-13,291.5
2022-05-14,291.5
2022-05-15,291.5
2022-05-16,291.5
2022-05-17,291.5
2022-05-18,291.5
2022-05-19,291.5
2022-05-20,291.5
2022-05-21,291.5
2022-05-22,291.5
2022-05-23,291.5
2022-05-24,291.5
2022-05-25,291.5
2022-05-26,291.5
2022-05-27,291.5
2022-05-28,291.5
2022-05-29,291.5
2022-05-30,291.5
2022-05-31,291.5
2022-06-01,321.7
2022-06-02,321.7
2022-06-03,321.7
2022-06-04,321.7
2022-06-05,321.7
2022-06-06,321.7
2022-06-07,321.7
2022-06-08,321.7
2022-06-09,321.7
2022-06-10,321.7
2022-06-11,321.7
2022-06-12,321.7
2022-06-13,321.7
2022-06-14,321.7
2022-06-15,321.7
2022-06-16,321.7
2022-06-17,321.7
2022-06-18,321.7
2022-06-19,321.7
2022-06-20,321.7
2022-06-21,321.7
2022-06-22,321.7
2022-06-23,321.7
2022-06-24,321.7
2022-06-25,321.7
2022-06-26,321.7
2022-06-27,321.7
2022-06-28,321.7
2022-06-29,321.7
2022-06-30,321.7
2022-07-01,455.9
2022-07-02,455.9
2022-07-03,455.9
2022-07-04,455.9
2022-07-05,455.9
2022-07-06,455.9
2022-07-07,455.9
2022-07-08,455.9
2022-07-09,455.9
2022-07-10,455.9
2022-07-11,455.9
2022-07-12,455.9
2022-07-13,455.9
2022-07-14,455.9
2022-07-15,455.9
2022-07-16,455.9
2022-07-17,455.9
2022-07-18,455.9
2022-07-19,455.9
2022-07-20,455.9
2022-07-21,455.9
2022-07-22,455.9
2022-07-23,455.9
2022-07-24,455.9
2022-07-25,455.9
2022-07-26,455.9
2022-07-27,455.9
2022-07-28,455.9
2022-07-29,455.9
2022-07-30,455.9
2022-07-31,455.9
2022-08-01,234.5
2022-08-02,234.5
2022-08-03,234.5
2022-08-04,234.5
2022-08-05,234.5
2022-08-06,234.5
2022-08-07,234.5
2022-08-08,234.5
2022-08-09,234.5
2022-08-10,234.5
2022-08-11,234.5
2022-08-12,234.5
2022-08-13,234.5
2022-08-14,234.5
2022-08-15,234.5
2022-08-16,234.5
2022-08-17,234.5
2022-08-18,234.5
2022-08-19,234.537
2022-08-20,243.841
2022-08-21,243.841
2022-08-22,244.68
2022-08-23,282.309
2022-08-24,272.212
2022-08-25,283.492
2022-08-26,312.156
2022-08-27,312.137
2022-08-28,312.137
2022-08-29,312.137
2022-08-30,313.553
2022-08-31,262.711
2022-09-01,244.325
2022-09-02,229.117
2022-09-03,194.61
2022-09-04,194.61
2022-09-05,194.04
2022-09-06,233.347
2022-09-07,212.006
2022-09-08,215.547
2022-09-09,198.332
2022-09-10,193.91
2022-09-11,193.91
2022-09-12,194.45
2022-09-13,186.644
2022-09-14,189.042
2022-09-15,210.517
2022-09-16,212.864
2022-09-17,170.953
2022-09-18,170.953
2022-09-19,171.008
2022-09-20,164.889
2022-09-21,170.398
2022-09-22,185.602
2022-09-23,175.829
2022-09-24,167.866
2022-09-25,167.866
2022-09-26,169.689
2022-09-27,166.093
2022-09-28,189.562
2022-09-29,200.991
2022-09-30,184.858
2022-10-01,164.578
2022-10-02,164.578
2022-10-03,164.097
